+----------+------------+--------+--------+--------+--------------+---------+
| # Epoch  | Train_loss |  mse   |  mae   |  rmse  | pearson_corr |    r2   |
+----------+------------+--------+--------+--------+--------------+---------+
| epoch 1  |  434.5873  | 3.8417 | 1.5699 | 1.9600 |    0.2537    | -0.1692 |
| epoch 2  |  305.2711  | 2.7307 | 1.2825 | 1.6525 |    0.4283    |  0.1693 |
| epoch 3  |  269.9388  | 2.4125 | 1.1824 | 1.5532 |    0.5160    |  0.2661 |
| epoch 4  |  248.7135  | 2.1742 | 1.1228 | 1.4745 |    0.5834    |  0.3403 |
| epoch 5  |  233.3543  | 2.0029 | 1.0778 | 1.4152 |    0.6232    |  0.3883 |
| epoch 6  |  221.5243  | 1.8726 | 1.0417 | 1.3684 |    0.6566    |  0.4310 |
| epoch 7  |  211.3409  | 1.7476 | 1.0077 | 1.3220 |    0.6851    |  0.4694 |
| epoch 8  |  204.4611  | 1.6678 | 0.9820 | 1.2914 |    0.7009    |  0.4912 |
| epoch 9  |  196.0543  | 1.5672 | 0.9487 | 1.2519 |    0.7242    |  0.5244 |
| epoch 10 |  190.8356  | 1.5032 | 0.9296 | 1.2261 |    0.7375    |  0.5438 |
| epoch 11 |  182.3861  | 1.4093 | 0.9054 | 1.1872 |    0.7563    |  0.5720 |
| epoch 12 |  179.7559  | 1.3792 | 0.8952 | 1.1744 |    0.7626    |  0.5816 |
| epoch 13 |  174.3681  | 1.3204 | 0.8710 | 1.1491 |    0.7740    |  0.5989 |
| epoch 14 |  170.3524  | 1.2782 | 0.8634 | 1.1306 |    0.7818    |  0.6112 |
| epoch 15 |  166.2230  | 1.2344 | 0.8413 | 1.1110 |    0.7907    |  0.6251 |
| epoch 16 |  162.6221  | 1.1939 | 0.8298 | 1.0926 |    0.7985    |  0.6376 |
| epoch 17 |  159.7317  | 1.1637 | 0.8209 | 1.0787 |    0.8036    |  0.6458 |
| epoch 18 |  157.9610  | 1.1510 | 0.8152 | 1.0728 |    0.8061    |  0.6497 |
| epoch 19 |  152.7675  | 1.0995 | 0.7918 | 1.0486 |    0.8160    |  0.6659 |
| epoch 20 |  153.1585  | 1.1049 | 0.7957 | 1.0512 |    0.8155    |  0.6650 |
| epoch 21 |  154.9190  | 1.1249 | 0.7989 | 1.0606 |    0.8119    |  0.6591 |
| epoch 22 |  151.0125  | 1.0861 | 0.7870 | 1.0422 |    0.8186    |  0.6701 |
| epoch 23 |  149.7438  | 1.0740 | 0.7763 | 1.0363 |    0.8213    |  0.6745 |
| epoch 24 |  146.5046  | 1.0396 | 0.7702 | 1.0196 |    0.8274    |  0.6846 |
| epoch 25 |  145.5914  | 1.0365 | 0.7653 | 1.0181 |    0.8279    |  0.6853 |
| epoch 26 |  142.5381  | 1.0026 | 0.7523 | 1.0013 |    0.8341    |  0.6958 |
| epoch 27 |  142.6718  | 1.0066 | 0.7545 | 1.0033 |    0.8331    |  0.6941 |
| epoch 28 |  139.9725  | 0.9800 | 0.7459 | 0.9899 |    0.8383    |  0.7027 |
| epoch 29 |  139.7630  | 0.9794 | 0.7402 | 0.9896 |    0.8385    |  0.7030 |
| epoch 30 |  139.5469  | 0.9783 | 0.7405 | 0.9891 |    0.8382    |  0.7025 |
| epoch 31 |  129.0637  | 0.8764 | 0.6947 | 0.9361 |    0.8565    |  0.7336 |
| epoch 32 |  125.1144  | 0.8439 | 0.6813 | 0.9186 |    0.8624    |  0.7436 |
| epoch 33 |  124.4821  | 0.8393 | 0.6802 | 0.9161 |    0.8633    |  0.7453 |
| epoch 34 |  123.1366  | 0.8240 | 0.6707 | 0.9077 |    0.8659    |  0.7497 |
| epoch 35 |  123.8640  | 0.8349 | 0.6748 | 0.9137 |    0.8639    |  0.7463 |
| epoch 36 |  121.2009  | 0.8050 | 0.6645 | 0.8972 |    0.8693    |  0.7557 |
| epoch 37 |  119.6863  | 0.7930 | 0.6578 | 0.8905 |    0.8711    |  0.7588 |
| epoch 38 |  119.6156  | 0.7949 | 0.6537 | 0.8916 |    0.8709    |  0.7584 |
| epoch 39 |  118.4888  | 0.7849 | 0.6516 | 0.8859 |    0.8727    |  0.7616 |
| epoch 40 |  116.1375  | 0.7601 | 0.6432 | 0.8718 |    0.8770    |  0.7691 |
| epoch 41 |  117.6645  | 0.7742 | 0.6493 | 0.8799 |    0.8747    |  0.7651 |
| epoch 42 |  115.3114  | 0.7528 | 0.6398 | 0.8676 |    0.8783    |  0.7714 |
| epoch 43 |  115.4015  | 0.7526 | 0.6409 | 0.8675 |    0.8782    |  0.7712 |
| epoch 44 |  115.4232  | 0.7546 | 0.6378 | 0.8687 |    0.8778    |  0.7705 |
| epoch 45 |  112.6951  | 0.7290 | 0.6282 | 0.8538 |    0.8824    |  0.7786 |
| epoch 46 |  112.4512  | 0.7319 | 0.6259 | 0.8555 |    0.8818    |  0.7776 |
| epoch 47 |  111.2849  | 0.7142 | 0.6256 | 0.8451 |    0.8851    |  0.7834 |
| epoch 48 |  110.9078  | 0.7155 | 0.6200 | 0.8459 |    0.8848    |  0.7828 |
| epoch 49 |  109.4014  | 0.6986 | 0.6126 | 0.8358 |    0.8876    |  0.7877 |
| epoch 50 |  109.3917  | 0.6973 | 0.6157 | 0.8350 |    0.8878    |  0.7882 |
| epoch 51 |  109.3466  | 0.6996 | 0.6136 | 0.8364 |    0.8872    |  0.7871 |
| epoch 52 |  107.2875  | 0.6793 | 0.6028 | 0.8242 |    0.8904    |  0.7928 |
| epoch 53 |  107.2816  | 0.6792 | 0.6066 | 0.8241 |    0.8910    |  0.7938 |
| epoch 54 |  106.9515  | 0.6760 | 0.6032 | 0.8222 |    0.8915    |  0.7948 |
| epoch 55 |  104.5626  | 0.6595 | 0.5933 | 0.8121 |    0.8942    |  0.7996 |
| epoch 56 |  103.9912  | 0.6501 | 0.5911 | 0.8063 |    0.8959    |  0.8026 |
| epoch 57 |  104.4931  | 0.6554 | 0.5884 | 0.8096 |    0.8949    |  0.8008 |
| epoch 58 |  102.6122  | 0.6362 | 0.5853 | 0.7976 |    0.8983    |  0.8069 |
| epoch 59 |  105.8581  | 0.6718 | 0.5976 | 0.8196 |    0.8922    |  0.7959 |
| epoch 60 |  102.5532  | 0.6362 | 0.5837 | 0.7976 |    0.8982    |  0.8068 |
| epoch 61 |  95.1459   | 0.5734 | 0.5494 | 0.7572 |    0.9087    |  0.8258 |
| epoch 62 |  94.2381   | 0.5646 | 0.5494 | 0.7514 |    0.9104    |  0.8288 |
| epoch 63 |  95.0734   | 0.5724 | 0.5505 | 0.7566 |    0.9086    |  0.8256 |
| epoch 64 |  91.1297   | 0.5376 | 0.5322 | 0.7332 |    0.9147    |  0.8366 |
| epoch 65 |  91.3042   | 0.5394 | 0.5327 | 0.7344 |    0.9144    |  0.8360 |
| epoch 66 |  89.9496   | 0.5239 | 0.5282 | 0.7238 |    0.9170    |  0.8408 |
| epoch 67 |  89.4137   | 0.5236 | 0.5267 | 0.7236 |    0.9170    |  0.8408 |
| epoch 68 |  87.9945   | 0.5130 | 0.5200 | 0.7162 |    0.9188    |  0.8441 |
| epoch 69 |  88.4468   | 0.5135 | 0.5201 | 0.7166 |    0.9186    |  0.8439 |
| epoch 70 |  88.4379   | 0.5153 | 0.5201 | 0.7178 |    0.9183    |  0.8432 |
| epoch 71 |  88.1415   | 0.5111 | 0.5170 | 0.7149 |    0.9192    |  0.8449 |
| epoch 72 |  90.3236   | 0.5315 | 0.5286 | 0.7290 |    0.9157    |  0.8385 |
| epoch 73 |  86.7985   | 0.5024 | 0.5123 | 0.7088 |    0.9207    |  0.8477 |
| epoch 74 |  87.5825   | 0.5093 | 0.5168 | 0.7137 |    0.9194    |  0.8452 |
| epoch 75 |  87.2893   | 0.5051 | 0.5158 | 0.7107 |    0.9202    |  0.8466 |
| epoch 76 |  85.8163   | 0.4933 | 0.5079 | 0.7024 |    0.9221    |  0.8503 |
| epoch 77 |  86.1916   | 0.5008 | 0.5078 | 0.7077 |    0.9208    |  0.8479 |
| epoch 78 |  83.7556   | 0.4790 | 0.4961 | 0.6921 |    0.9242    |  0.8541 |
| epoch 79 |  85.5135   | 0.4913 | 0.5074 | 0.7009 |    0.9224    |  0.8508 |
| epoch 80 |  84.7057   | 0.4823 | 0.5044 | 0.6945 |    0.9238    |  0.8534 |
+----------+------------+--------+--------+--------+--------------+---------+
